id,health_and_social_index,employment_and_social_index,working_life_sub_index,social_status_sub_index,health_sub_index
010111,-1.1571627,-1.1446247,-.29034969,-1.9158782,-1.0262946
010112,.78633577,.51550847,.68013853,.27587137,1.2586167
010113,.34540012,.63411289,.54919261,.64644963,-.40568218
010114,.8463884,.99607277,1.1165586,.74418831,.30760807
010221,-.91724831,-1.0668956,-.79425442,-1.2262999,-.39810136
010222,-.85148072,-1.011938,-.44831893,-1.4890383,-.34497342
010331,-2.1659219,-1.9005773,-2.0720387,-1.4823992,-2.3450477
010332,-1.7718838,-1.9004724,-1.7729361,-1.8017776,-1.1172961
010441,-.95832962,-.90052015,-1.0597445,-.61905825,-.88829529
010442,-2.0809138,-1.993762,-1.7406492,-2.0177083,-1.8889766
020101,-2.8776863,-3.31777,-2.7104716,-3.5564604,-1.2976896
020202,-.5261367,-.73279059,-.27989012,-1.1261036,.034161374
020303,-2.5413952,-2.9102662,-1.6374271,-3.9104493,-1.2567251
020304,-1.1600906,-1.4148983,-.72635335,-1.9756587,-.3768571
020405,.11037305,.39608648,.16547106,.59352261,-.57337916
020407,.27119023,.29891768,.25739512,.30632684,.15371446
020506,-.10490196,-.051873688,.1261396,-.23566242,-.22544523
020508,-.15429725,.32214877,.25131387,.3580052,-1.2530059
030101,-1.3655891,-.61287987,-.93690544,-.19089477,-2.8558114
030202,.59695703,.79456741,.89639121,.5875358,-.0039603724
030203,.95804632,.76552576,.84320748,.58787984,1.2163169
030304,1.1816996,1.0092573,1.011497,.8820852,1.3532896
030307,1.2662662,1.3369794,1.3157537,1.1943617,.8429476
030405,1.0932498,1.0932446,1.0798626,.97238022,.87293303
030406,.48361343,.57846022,.48627144,.60544378,.16742676
030408,.29663375,.47395536,.34577128,.55231923,-.17522812
030509,-.28492016,.21723077,.096217304,.31967303,-1.4141316
030510,.07588955,.2055663,-.18638435,.5989393,-.2148976
030611,.22067153,.48684219,.56337327,.34488052,-.46531299
030612,.39682311,.45087442,.40480369,.44435605,.19151869
030613,.047179423,.31181243,.79415828,-.24211098,-.63498521
030614,-.13044211,-.0074612093,-.18072423,.17858784,-.38232023
030715,.95651156,.86794668,1.0812819,.53269613,.95551503
030716,.3849692,.56949145,.77440751,.28013572,-.15068249
040101,-.87062818,-1.217397,-1.5051244,-.7594561,.15742882
040202,1.2837681,1.1478026,1.4340185,.70008105,1.3232132
040203,.75608051,.44208536,.78420526,.021883121,1.3221183
040304,-.54535526,-.81415117,-.02316284,-1.5586426,.13785864
040305,-.58550799,-.63189012,-.47784841,-.71835589,-.36957535
040306,-.40592968,-.74141389,-.11704373,-1.3168713,.42242247
040307,.62101513,.32111412,.48459601,.10673769,1.1962132
040308,.12728079,-.21542601,.022669427,-.4431901,.89814079
040309,.56142581,.30232966,.80439645,-.27149266,1.0222007
